Incident Number,District,Offense Description,Incident Address,Incident Date
2015-006602,91,Aggravated assault,"9515 HWY
Little Rock, Arkansas",1/18/15
2015-100556,91,Aggravated assault,"9200 MABELVALE / 11000 HEINKE RD
Little Rock, Arkansas",2/9/15
2015-017863,71,Aggravated assault,"512 GREEN MOUNTAIN
Little Rock, Arkansas",2/15/15
2015-031280,54,Aggravated assault,"3201 FAIR PARK
Little Rock, Arkansas",3/24/15
2015-041417,54,Aggravated assault,"1100 FAIR PARK
Little Rock, Arkansas",4/17/15
2015-043451,54,Aggravated assault,"3401 FAIR PARK
Little Rock, Arkansas",4/22/15
2015-048256,90,Aggravated assault,"130 STAGECOACH RD
Little Rock, Arkansas",5/4/15
2015-050492,82,Aggravated assault,"6500 MABELVALE CUTOFF CO
Little Rock, Arkansas",5/9/15
2015-059003,82,Aggravated assault,"3300 AVERY RD
Little Rock, Arkansas",5/29/15
2015-059408,81,Aggravated assault,"0 W 65TH ST
Little Rock, Arkansas",5/30/15
2015-069030,62,Aggravated assault,"5207 WESTERN HILLS
Little Rock, Arkansas",6/21/15
2015-073038,53,Aggravated assault,"2024 BOOKER ST
Little Rock, Arkansas",7/1/15
2015-075560,54,Aggravated assault,"3401 FAIR PARK
Little Rock, Arkansas",7/6/15
2015-077157,82,Aggravated assault,"4311 E WAKEFIELD DR
Little Rock, Arkansas",7/9/15
2015-088173,90,Aggravated assault,"19 SOUTHERN HILLS
Little Rock, Arkansas",8/3/15
2015-088235,90,Aggravated assault,"19 SOUTHERN HILLS
Little Rock, Arkansas",8/4/15
2015-093667,81,Aggravated assault,"7007 BIRDY LN
Little Rock, Arkansas",8/17/15
2015-104815,64,Aggravated assault,"7919 COL GLENN RD
Little Rock, Arkansas",9/11/15
2015-114801,42,Aggravated assault,"8921 FOURCHE DAM
Little Rock, Arkansas",10/6/15
2015-116850,54,Aggravated assault,"3401 FAIR PARK
Little Rock, Arkansas",10/11/15
2015-123080,80,Aggravated assault,"5300 W 49TH ST
Little Rock, Arkansas",10/26/15
2015-125165,92,Aggravated assault,"11100 OTTER CREEK CV
Little Rock, Arkansas",10/31/15
2015-135673,93,Aggravated assault,"11201 BASS PRO
Little Rock, Arkansas",11/27/15
