IncidentNumber,District,offenseDesc1,IncidentAddress,IncidentDate
2016-127339,81,AGGRAVATED ASSAULT,"4813 BUTLER RD
Little Rock, Arkansas",11/11/16
2016-132390,91,AGGRAVATED ASSAULT,"8711 KENNESAW MOUNTAIN DR
Little Rock, Arkansas",11/24/16
2016-083866,63,AGGRAVATED ASSAULT,"103 RESERVOIR RD
Little Rock, Arkansas",7/27/16 0:00
2016-084253,91,AGGRAVATED ASSAULT,"11011 MARKS MILL CT
Little Rock, Arkansas",7/28/16
2016-008820,62,AGGRAVATED ASSAULT,"0
Little Rock, Arkansas",1/24/16
2016-010486,92,AGGRAVATED ASSAULT,"10800 SARDIS RD
Little Rock, Arkansas",1/29/16
2016-016950,43,AGGRAVATED ASSAULT,"0
Little Rock, Arkansas",2/15/16
2016-050085,71,AGGRAVATED ASSAULT,"420 NAPA VALLEY DR
Little Rock, Arkansas",5/7/16
2016-052481,51,AGGRAVATED ASSAULT,"0 S CHESTER ST
Little Rock, Arkansas",5/13/16
2016-059728,51,AGGRAVATED ASSAULT,"325 INTERSTATE 630
Little Rock, Arkansas",5/31/16
2016-046020,52,ARSON,"4102 S ARCH ST
Little Rock, Arkansas",4/28/16
2016-106201,82,AGGRAVATED ASSAULT,"9600 EVA LN
Little Rock, Arkansas",9/8/16
2016-114463,90,AGGRAVATED ASSAULT,"0 W 65TH ST
Little Rock, Arkansas",10/10/16
2016-010929,90,AGGRAVATED ASSAULT ON AN EMPLOYEE OF A CORRECTIONAL FACILITY,"0
Little Rock, Arkansas",1/30/16
2016-107310,91,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"10915 APPOMATTOX DR
Little Rock, Arkansas",9/22/16
2016-060381,91,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"10913 LEGION HUT RD
Little Rock, Arkansas",6/2/16
2016-100338,91,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"0
Little Rock, Arkansas",9/5/16
2016-103344,82,AGGRAVATED ASSAULT ON AN FAMILY OR HOUSEHOLD MEMBER,"0
Little Rock, Arkansas",9/13/16
