"","INCIDENT_DATE","INCIDENT_NUMBER","LOCATION_DISTRICT","OFFENSE_CODE","OFFENSE_DESCRIPTION","LOCATION_ADDRESS","CITY","STATE","ZIP","LATITUDE","LONGITUDE","Location.1","ymd","month","year","wday","hour"
"1","01-01-2017 01:20:00 AM","2017-000058","90","13A","AGGRAVATED ASSAULT","9515 INTERSTATE 30","LITTLE ROCK","AR",72209,34.676251,-92.364884,"9515 INTERSTATE 30
LITTLE ROCK, AR 72209
(34.676251, -92.364884)","2017-01-01","Jan",2017,"Sun",1
"2","01-01-2017 01:25:00 AM","2017-000060","54","13A","AGGRAVATED ASSAULT","2310 S HARRISON ST","LITTLE ROCK","AR",72204,34.730494,-92.332684,"2310 S HARRISON ST
LITTLE ROCK, AR 72204
(34.730494, -92.332684)","2017-01-01","Jan",2017,"Sun",1
"3","01-01-2017 04:13:00 AM","2017-000142","54","240","MOTOR VEHICLE THEFT","2004 ABIGAIL ST","LITTLE ROCK","AR",72204,34.73324,-92.321638,"2004 ABIGAIL ST
LITTLE ROCK, AR 72204
(34.73324, -92.321638)","2017-01-01","Jan",2017,"Sun",4
"4","01-01-2017 05:55:00 AM","2017-000157","54","13A","AGGRAVATED ASSAULT","3401 FAIR PARK BLVD","LITTLE ROCK","AR",72204,34.72005,-92.333931,"3401 FAIR PARK BLVD
LITTLE ROCK, AR 72204
(34.72005, -92.333931)","2017-01-01","Jan",2017,"Sun",5
"5","01-01-2017 02:30:00 AM","2017-000199","52","220","BURGLARY/B&E","1874 S GAINES ST","LITTLE ROCK","AR",72206,34.730751,-92.280975,"1874 S GAINES ST
LITTLE ROCK, AR 72206
(34.730751, -92.280975)","2017-01-01","Jan",2017,"Sun",2
"6","01-01-2017 12:34:00 AM","2017-000206","90","23F","THEFT FROM MOTOR VEHICLE","20 SANIBEL CV","LITTLE ROCK","AR",72210,34.698964,-92.410614,"20 SANIBEL CV
LITTLE ROCK, AR 72210
(34.698964, -92.410614)","2017-01-01","Jan",2017,"Sun",0
"7","01-01-2017 11:11:00 AM","2017-000211","53","23H","ALL OTHER LARCENY","2805 W 13TH ST","LITTLE ROCK","AR",72204,34.738936,-92.304778,"2805 W 13TH ST
LITTLE ROCK, AR 72204
(34.738936, -92.304778)","2017-01-01","Jan",2017,"Sun",11
"8","01-01-2017 12:40:00 PM","2017-000226","53","120","ROBBERY","724 S WOODROW ST","LITTLE ROCK","AR",72205,34.744427,-92.30555,"724 S WOODROW ST
LITTLE ROCK, AR 72205
(34.744427, -92.30555)","2017-01-01","Jan",2017,"Sun",12
"9","01-01-2017 02:00:00 AM","2017-000237","91","23F","THEFT FROM MOTOR VEHICLE","8621 BASELINE RD","LITTLE ROCK","AR",72209,34.670025,-92.374001,"8621 BASELINE RD
LITTLE ROCK, AR 72209
(34.670025, -92.374001)","2017-01-01","Jan",2017,"Sun",2
"10","01-01-2017 02:05:00 PM","2017-000251","81","13A","AGGRAVATED ASSAULT","5105 W 65TH ST","LITTLE ROCK","AR",72209,34.690332,-92.333017,"5105 W 65TH ST
LITTLE ROCK, AR 72209
(34.690332, -92.333017)","2017-01-01","Jan",2017,"Sun",14
"11","01-01-2017 02:10:00 PM","2017-000253","63","23H","ALL OTHER LARCENY","10100 N RODNEY PARHAM RD","LITTLE ROCK","AR",72227,34.765988,-92.386704,"10100 N RODNEY PARHAM RD
LITTLE ROCK, AR 72227
(34.765988, -92.386704)","2017-01-01","Jan",2017,"Sun",14
"12","01-01-2017 02:50:00 PM","2017-000261","82","13A","AGGRAVATED ASSAULT","10324 INDEPENDENCE LN","LITTLE ROCK","AR",72209,34.656199,-92.340263,"10324 INDEPENDENCE LN
LITTLE ROCK, AR 72209
(34.656199, -92.340263)","2017-01-01","Jan",2017,"Sun",14
"13","01-01-2017 02:50:00 PM","2017-000261","82","13A","AGGRAVATED ASSAULT","10324 INDEPENDENCE LN","LITTLE ROCK","AR",72209,34.656199,-92.340263,"10324 INDEPENDENCE LN
LITTLE ROCK, AR 72209
(34.656199, -92.340263)","2017-01-01","Jan",2017,"Sun",14
"14","01-01-2017 02:50:00 PM","2017-000261","82","13A","AGGRAVATED ASSAULT","10324 INDEPENDENCE LN","LITTLE ROCK","AR",72209,34.656199,-92.340263,"10324 INDEPENDENCE LN
LITTLE ROCK, AR 72209
(34.656199, -92.340263)","2017-01-01","Jan",2017,"Sun",14
"15","01-01-2017 12:00:00 AM","2017-000266","82","23G","THEFT OF MOTOR VEHICLE PARTS","43 WARREN DR","LITTLE ROCK","AR",72209,34.661484,-92.353874,"43 WARREN DR
LITTLE ROCK, AR 72209
(34.661484, -92.353874)","2017-01-01","Jan",2017,"Sun",0
"16","01-01-2017 02:00:00 PM","2017-000277","81","220","BURGLARY/B&E","7501 INTERSTATE 30","LITTLE ROCK","AR",72209,34.67996,-92.317062,"7501 INTERSTATE 30
LITTLE ROCK, AR 72209
(34.67996, -92.317062)","2017-01-01","Jan",2017,"Sun",14
