"","date","dailyMax","dailyMin"
"36","2015-1-1",39,35
"37","2015-1-1",39,35
"79","2015-1-2",44,37
"80","2015-1-2",44,37
"141","2015-1-3",54,44
"142","2015-1-3",54,44
"168","2015-1-4",43,26
"169","2015-1-4",43,26
"193","2015-1-5",34,22
"194","2015-1-5",34,22
"218","2015-1-6",55,25
"219","2015-1-6",55,25
"243","2015-1-7",37,17
"244","2015-1-7",37,17
"268","2015-1-8",34,10
"269","2015-1-8",34,10
"293","2015-1-9",40,22
"294","2015-1-9",40,22
"318","2015-1-10",35,19
"319","2015-1-10",35,19
"375","2015-1-11",39,32
"376","2015-1-11",39,32
"411","2015-1-12",43,35
"412","2015-1-12",43,35
"438","2015-1-13",38,23
"439","2015-1-13",38,23
"463","2015-1-14",40,21
"464","2015-1-14",40,21
"488","2015-1-15",52,32
"489","2015-1-15",52,32
"513","2015-1-16",61,27
"514","2015-1-16",61,27
"538","2015-1-17",66,33
"539","2015-1-17",66,33
"563","2015-1-18",68,35
"564","2015-1-18",68,35
"588","2015-1-19",68,32
"589","2015-1-19",68,41
"613","2015-1-20",68,35
"614","2015-1-20",68,35
"638","2015-1-21",60,34
"639","2015-1-21",60,34
"663","2015-1-22",51,41
"664","2015-1-22",51,41
"688","2015-1-23",50,32
"689","2015-1-23",50,32
"713","2015-1-24",63,29
"714","2015-1-24",63,29
"738","2015-1-25",63,38
"739","2015-1-25",63,38
"763","2015-1-26",62,34
"764","2015-1-26",62,34
"788","2015-1-27",68,39
"789","2015-1-27",68,39
"813","2015-1-28",64,35
"814","2015-1-28",64,35
"839","2015-1-29",67,37
"840","2015-1-29",67,37
"864","2015-1-30",53,32
"865","2015-1-30",53,32
"889","2015-1-31",48,39
"890","2015-1-31",48,39
"931","2015-2-1",58,33
"932","2015-2-1",58,33
"959","2015-2-2",41,26
"960","2015-2-2",41,26
"984","2015-2-3",53,25
"985","2015-2-3",53,25
"1014","2015-2-4",59,32
"1015","2015-2-4",59,32
"1041","2015-2-5",42,27
"1042","2015-2-5",42,27
"1066","2015-2-6",52,25
"1067","2015-2-6",52,25
"1094","2015-2-7",68,38
"1095","2015-2-7",68,38
"1123","2015-2-8",69,51
"1124","2015-2-8",69,51
"1148","2015-2-9",65,38
"1149","2015-2-9",65,38
"1177","2015-2-10",51,36
"1178","2015-2-10",51,36
"1202","2015-2-11",64,34
"1203","2015-2-11",64,34
"1227","2015-2-12",48,32
"1228","2015-2-12",48,32
"1252","2015-2-13",48,27
"1253","2015-2-13",48,27
"1277","2015-2-14",75,29
"1278","2015-2-14",75,29
"1304","2015-2-15",38,23
"1305","2015-2-15",38,23
"1360","2015-2-16",41,24
"1361","2015-2-16",30,24
"1394","2015-2-17",38,20
"1395","2015-2-17",38,20
"1419","2015-2-18",42,23
"1420","2015-2-18",42,23
"1444","2015-2-19",30,19
"1445","2015-2-19",30,19
"1480","2015-2-20",37,25
"1481","2015-2-20",37,25
"1541","2015-2-21",60,33
"1542","2015-2-21",60,33
"1571","2015-2-22",43,32
"1572","2015-2-22",43,32
"1618","2015-2-23",32,22
"1619","2015-2-23",32,22
"1643","2015-2-24",43,24
"1644","2015-2-24",43,24
"1680","2015-2-25",34,30
"1681","2015-2-25",34,30
"1711","2015-2-26",42,27
"1712","2015-2-26",42,27
"1737","2015-2-27",31,21
"1762","2015-2-28",38,26
