"","INCIDENT_NUMBER","LOCATION_DISTRICT","OFFENS_DESCRIPTION","ymd","month","wday","LONGTITUDE","LATITUDE","LOCATION_ADDRESS","CITY","STATE"
"1","2016-127339",81,"AGGRAVATED ASSAULT",2016-11-11,11,"Friday",-92.3315431,34.6966553,"4813 BUTLER RD","Little Rock"," Arkansas"
"2","2016-132390",91,"AGGRAVATED ASSAULT",2016-11-24,11,"Thursday",-92.3758667,34.6482795,"8711 KENNESAW MOUNTAIN DR","Little Rock"," Arkansas"
"3","2016-083866",63,"AGGRAVATED ASSAULT",2016-07-27,7,"Wednesday",-92.3759077,34.7697605,"103 RESERVOIR RD","Little Rock"," Arkansas"
"4","2016-084253",91,"AGGRAVATED ASSAULT",2016-07-28,7,"Thursday",-92.3752497,34.6500624,"11011 MARKS MILL CT","Little Rock"," Arkansas"
"5","2016-008820",62,"AGGRAVATED ASSAULT",2016-01-24,1,"Sunday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"6","2016-010486",92,"AGGRAVATED ASSAULT",2016-01-29,1,"Friday",-92.3892689,34.6529643,"10800 SARDIS RD","Little Rock"," Arkansas"
"7","2016-016950",43,"AGGRAVATED ASSAULT",2016-02-15,2,"Monday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"8","2016-050085",71,"AGGRAVATED ASSAULT",2016-05-07,5,"Saturday",-92.4088297,34.7576014,"420 NAPA VALLEY DR","Little Rock"," Arkansas"
"9","2016-052481",51,"AGGRAVATED ASSAULT",2016-05-13,5,"Friday",-92.2846453,34.7298794,"0 S CHESTER ST","Little Rock"," Arkansas"
"10","2016-059728",51,"AGGRAVATED ASSAULT",2016-05-31,5,"Tuesday",-92.289988,34.7438376,"325 INTERSTATE 630","Little Rock"," Arkansas"
"11","2016-046020",52,"ARS",2016-04-28,4,"Thursday",-92.2809286,34.7106834,"4102 S ARCH ST","Little Rock"," Arkansas"
"12","2016-106201",82,"AGGRAVATED ASSAULT",2016-09-08,9,"Thursday",-92.3584871,34.6562697,"9600 EVA LN","Little Rock"," Arkansas"
"13","2016-114463",90,"AGGRAVATED ASSAULT",2016-10-10,10,"Monday",-92.304131,34.688131,"0 W 65TH ST","Little Rock"," Arkansas"
"14","2016-010929",90,"AGGRAVATED ASSAULT ",2016-01-30,1,"Saturday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"15","2016-107310",91,"AGGRAVATED ASSAULT ",2016-09-22,9,"Thursday",-92.3724348,34.6506785,"10915 APPOMATTOX DR","Little Rock"," Arkansas"
"16","2016-060381",91,"AGGRAVATED ASSAULT ",2016-06-02,6,"Thursday",-92.3696972,34.6511635,"10913 LEGION HUT RD","Little Rock"," Arkansas"
"17","2016-100338",91,"AGGRAVATED ASSAULT ",2016-09-05,9,"Monday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"18","2016-103344",82,"AGGRAVATED ASSAULT ",2016-09-13,9,"Tuesday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"19","2016-122110",52,"AGGRAVATED ASSAULT ",2016-10-29,10,"Saturday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"20","2016-092950",54,"AGGRAVATED ASSAULT ",2016-08-18,8,"Thursday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"21","2016-021425",91,"AGGRAVATED ASSAULT ",2016-02-26,2,"Friday",-92.3674995,34.6525881,"8018 DEPRIEST RD","Little Rock"," Arkansas"
"22","2016-043290",62,"AGGRAVATED ASSAULT ",2016-04-18,4,"Monday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"23","2016-053446",70,"AGGRAVATED ASSAULT ",2016-05-16,5,"Monday",-92.4173489,34.7925259,"0 SAM PECK RD","Little Rock"," Arkansas"
"24","2016-054185",53,"AGGRAVATED ASSAULT ",2016-05-17,5,"Tuesday",-92.3081925,34.7425765,"900 S JOHNSON ST","Little Rock"," Arkansas"
"25","2016-053827",92,"AGGRAVATED ASSAULT ",2016-05-17,5,"Tuesday",-92.391294,34.6595976,"60 PINEDALE CIR","Little Rock"," Arkansas"
"26","2016-093565",53,"AGGRAVATED ASSAULT ",2016-08-20,8,"Saturday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"27","2016-122315",92,"AGGRAVATED ASSAULT ",2016-10-29,10,"Saturday",-92.391015,34.6265343,"13622 SARDIS RD","Little Rock"," Arkansas"
"28","2016-142562",54,"AGGRAVATED ROBBERY ",2016-12-21,12,"Wednesday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"29","2016-141534",54,"AGGRAVATED ROBBERY ",2016-12-18,12,"Sunday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"30","2016-089035",82,"AGGRAVATED ROBBERY ",2016-08-08,8,"Monday",-92.3582382,34.6499834,"1916 KING ARTHURS CT","Little Rock"," Arkansas"
"31","2016-091332",64,"AGGRAVATED ROBBERY ",2016-08-14,8,"Sunday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"32","2016-109540",80,"AGGRAVATED ROBBERY ",2016-09-28,9,"Wednesday",-92.3434678,34.6868458,"4810 ARBOR PLACE CIR","Little Rock"," Arkansas"
"33","2016-053253",51,"AGGRAVATED ROBBERY ",2016-05-15,5,"Sunday",-92.2639324,34.7431783,"200 FERRY ST","Little Rock"," Arkansas"
"34","2016-031778",54,"AGGRAVATED ROBBERY ",2016-03-23,3,"Wednesday",-92.3065323,34.7345341,"4 W 18TH ST","Little Rock"," Arkansas"
"35","2016-028088",52,"AGGRAVATED ROBBERY ",2016-03-14,3,"Monday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"36","2016-087597",91,"ARS",2016-08-05,8,"Friday",-92.3775634,34.6490673,"11112 BULL RUN DR","Little Rock"," Arkansas"
"37","2016-104470",71,"ARS",2016-09-16,9,"Friday",-92.4088297,34.7576014,"420 NAPA VALLEY DR","Little Rock"," Arkansas"
"38","2016-108487",80,"ARS",2016-09-25,9,"Sunday",-92.331377,34.7011934,"89 GUM SPRINGS RD","Little Rock"," Arkansas"
"39","2016-124913",54,"ARS",2016-11-04,11,"Friday",-92.3235972,34.744325,"4800 W 8TH ST","Little Rock"," Arkansas"
"40","2016-125622",90,"AUTOTHEFT",2016-11-04,11,"Friday",-92.3881959,34.6540729,"10611 WOODMAN ST","Little Rock"," Arkansas"
"41","2016-072958",92,"AUTOTHEFT",2016-07-01,7,"Friday",-92.3888639,34.6573128,"10402 MABELVALE PIKE","Little Rock"," Arkansas"
"42","2016-065731",90,"AUTOTHEFT",2016-06-14,6,"Tuesday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"43","2016-083678",81,"AUTOTHEFT",2016-07-16,7,"Saturday",-92.3716262,34.6365123,"8500 CASTLE VALLEY RD","Little Rock"," Arkansas"
"44","2016-101881",80,"AUTOTHEFT",2016-09-07,9,"Wednesday",-92.304131,34.688131,"0 W 65TH ST","Little Rock"," Arkansas"
"45","2016-127232",92,"AUTOTHEFT",2016-11-11,11,"Friday",-92.390587,34.640513,"12106 SARDIS RD","Little Rock"," Arkansas"
"46","2016-107977",92,"AUTOTHEFT",2016-09-24,9,"Saturday",-92.3888639,34.6573128,"10402 MABELVALE PIKE","Little Rock"," Arkansas"
"47","2016-009762",70,"AUTOTHEFT",2016-01-27,1,"Wednesday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"48","2016-064453",92,"AUTOTHEFT",2016-06-12,6,"Sunday",-92.3888639,34.6573128,"10402 MABELVALE PIKE","Little Rock"," Arkansas"
"49","2016-128346",53,"AUTOTHEFT",2016-11-14,11,"Monday",-92.3129385,34.7472653,"507 S S VALENTINE ST CIR","Little Rock"," Arkansas"
"50","2016-016686",71,"AUTOTHEFT",2016-02-13,2,"Saturday",-92.4088297,34.7576014,"420 NAPA VALLEY DR","Little Rock"," Arkansas"
"51","2016-044822",42,"AUTOTHEFT",2016-04-22,4,"Friday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"52","2016-134573",40,"AUTOTHEFT",2016-11-29,11,"Tuesday",-92.3653598,34.6769217,"0 INTERSTATE 30","Little Rock"," Arkansas"
"53","2016-066746",91,"AUTOTHEFT",2016-06-11,6,"Saturday",-92.3714708,34.6505244,"8220 ANTIETAM DR","Little Rock"," Arkansas"
"54","2016-090183",92,"AUTOTHEFT",2016-08-05,8,"Friday",-92.4128818,34.627101,"5 LEPRECHAUN LN","Little Rock"," Arkansas"
"55","2016-088571",92,"AUTOTHEFT",2016-08-06,8,"Saturday",-92.4159887,34.6299992,"6 PONDS EDGE LN","Little Rock"," Arkansas"
"56","2016-000983",71,"AUTOTHEFT",2015-01-03,1,"Saturday",-92.4088297,34.7576014,"420 NAPA VALLEY DR","Little Rock"," Arkansas"
"57","2016-008720",80,"AUTOTHEFT",2016-01-24,1,"Sunday",-92.2895948,34.7464809,"0","Little Rock"," Arkansas"
"58","2016-013567",93,"AUTOTHEFT",2016-02-05,2,"Friday",-92.4008035,34.6556495,"0 MABELVALE WEST RD","Little Rock"," Arkansas"
"59","2016-021640",82,"AUTOTHEFT",2016-02-27,2,"Saturday",-92.3712391,34.6581405,"7309 WOODBRIDGE DR","Little Rock"," Arkansas"
"60","2016-031538",91,"AUTOTHEFT",2016-03-23,3,"Wednesday",-92.3817389,34.6310375,"13100 HEINKE RD","Little Rock"," Arkansas"
"61","2016-032281",91,"AUTOTHEFT",2016-03-25,3,"Friday",-92.3714708,34.6527704,"8312 SPANN RD","Little Rock"," Arkansas"
