"","monthlyMin","monthlyMean","monthlyMax","year","month"
"890",51.8,41.4,51.8,2015,1
"1763",47.5,38.1,47.5,2015,2
"2852",61.8,52.5,61.8,2015,3
"3808",74.8,64.7,74.8,2015,4
"4820",81.2,72.2,81.2,2015,5
"5660",90.5,81.1,90.5,2015,6
"6519",93.9,84.6,93.9,2015,7
"7366",93.2,81.9,93.2,2015,8
"8165",90.3,78.3,90.3,2015,9
"9078",77.6,66.4,77.6,2015,10
"10049",65.1,55.9,65.1,2015,11
"11046",62.3,52,62.3,2015,12
"11956",51.8,42.1,51.8,2016,1
"12754",60,49.3,60,2016,2
"13789",68.8,58.2,68.8,2016,3
"14686",74.4,64.6,74.4,2016,4
"15576",80.5,70.3,80.5,2016,5
"16432",91.9,82.7,91.9,2016,6
"17328",95.3,85.8,95.3,2016,7
"18321",91.5,83.7,91.5,2016,8
"19113",90.6,79.7,90.6,2016,9
"19959",79.8,67.8,79.8,2016,10
"20863",66.7,55.1,66.7,2016,11
"21827",52.4,43.3,52.4,2016,12
"22827",55.1,46.2,55.1,2017,1
"23715",64.3,53.2,64.3,2017,2
"24632",68.1,56.4,68.1,2017,3
"25563",75.7,64.8,75.7,2017,4
"26487",79.7,69.1,79.7,2017,5
"27460",86,76.5,86,2017,6
"28370",91.4,81.8,91.4,2017,7
"29272",86,78.3,86,2017,8
"30044",85.6,74.9,85.6,2017,9
"30908",76.5,64,76.5,2017,10
"31796",67,55.2,67,2017,11
"32731",52.7,43,52.7,2017,12
"33662",47.8,37.2,47.8,2018,1
"34724",55.9,46.2,55.9,2018,2
"35628",67.9,55.9,67.9,2018,3
"36543",68.5,56.3,68.5,2018,4
"37434",87.4,76.4,87.4,2018,5
"38273",90.9,80.8,90.9,2018,6
"39169",92.7,82.8,92.7,2018,7
"40127",89.4,79.7,89.4,2018,8
"41119",83.9,75.7,83.9,2018,9
"42116",73.3,63.7,73.3,2018,10
