,,
DATE,TMAX,TMIN
2018-05-05,82,59
2018-05-06,87,56
2018-05-07,89,57
2018-05-08,90,59
2018-05-09,90,65
2018-05-10,89,59
2018-05-12,89,67
2018-05-13,93,62
2018-05-14,89,66
2018-05-15,87,63
2018-05-16,91,65
2018-05-17,84,66
2018-05-18,88,62
2018-05-19,93,67
2018-05-21,82,69
2018-05-22,84,67
2018-05-23,89,68
2018-05-24,89,66
2018-05-25,86,68
2018-05-26,88,68
2018-05-27,91,68
2018-05-28,93,70
2018-05-29,89,70
2018-05-30,94,69
2018-05-31,89,75
2018-06-01,95,73
2018-06-02,94,71
2018-06-03,87,65
2018-06-04,86,60
2018-06-05,89,65
2018-06-06,92,61
2018-06-07,94,65
2018-06-08,94,68
2018-06-09,94,67
2018-06-10,95,68
2018-06-11,91,72
2018-06-12,95,75
2018-06-13,96,74
2018-06-14,97,69
2018-06-15,96,73
2018-06-16,96,73
2018-06-17,95,74
2018-06-18,94,74
2018-06-19,93,70
2018-06-20,84,72
2018-06-21,95,71
2018-06-22,93,66
2018-06-23,91,69
2018-09-27,68,55
2018-09-28,75,53
2018-09-29,79,56
2018-09-30,84,56
2018-10-01,84,67
2018-10-03,90,69
2018-10-04,91,68
2018-10-05,89,70
2018-10-08,88,68
2018-10-09,84,67
2018-10-10,80,58
2018-10-11,70,51
2018-10-12,62,47
2018-10-16,50,46
2018-10-17,69,46
2018-10-18,65,47
2018-10-21,59,37
2018-10-22,66,34
2018-10-23,71,43
2018-10-24,66,44
2018-10-25,56,50
2018-10-26,60,44
2018-10-27,74,41
2018-10-28,81,44
2018-10-29,74,43
2018-10-30,80,51
2018-10-31,77,58
2018-11-01,58,47
2018-11-02,64,38
2018-11-03,69,37
2018-11-05,62,40
2018-11-06,69,51
2018-11-09,54,36
2018-11-11,48,34
2018-11-12,44,34
2018-11-13,41,31
2018-11-14,34,28
2018-11-15,52,22
2015-01-01,38,34
2015-01-02,43,34
2015-01-03,52,42
2015-01-04,42,25
2015-01-05,33,19
2015-01-06,52,26
2015-01-07,34,13
2015-01-08,32,8
2015-01-09,36,24
2015-01-10,33,18
2015-01-11,37,30
2015-01-12,40,32
2015-01-13,35,23
2015-01-14,40,20
2015-01-15,47,31
2015-01-16,58,35
2015-01-17,64,36
2015-01-18,66,39
2015-01-19,65,47
2015-01-20,67,44
